# TECHS,tech_alias,tech_cap (t/year),tech_invcost ($),tech_refprod,operating_cost($/yr)
t11,C8_AM1,250000,2446808.869,p1,1714250.646
t12,C8_AM2,150000,1800904.968,p1,1061832.352
t13,C8_AM3,50000,931575.4681,p1,387071.4987
t14,C8_AM4,30000,685659.9673,p1,244914.3678
t21,C8_S1,100000,1464081.727,p2,742679.5796
t22,C8_S2,70000,1182018.147,p2,535591.7995
t23,C8_S3,35000,779841.1481,p2,286679.1072
t24,C8_S4,15000,469051.0103,p2,136345.8121
t31,C8_FW1,30000,758747.7673,p3,260201.8912
t32,C8_FW2,20000,594898.2217,p3,182374.5651
t33,C8_FW3,10000,392486.4548,p3,100691.017
t34,C8_FW4,5000,258944.491,p3,56615.63484
t41,C8_AM+FW1,250000,2446808.869,p1,1714250.646
t42,C8_AM+FW2,150000,1800904.968,p1,1061832.352
t43,C8_AM+FW3,50000,931575.4681,p1,387071.4987
t44,C8_AM+FW4,30000,685659.9673,p1,244914.3678
t51,C8_S+FW1,100000,1464081.727,p2,742679.5796
t52,C8_S+FW2,70000,1182018.147,p2,535591.7995
t53,C8_S+FW3,35000,779841.1481,p2,286679.1072
t54,C8_S+FW4,15000,469051.0103,p2,136345.8121
t61,Bg_AM1,250000,3511079.46,p1,1062751.285
t62,Bg_AM2,150000,2625333.37,p1,667467.9013
t63,Bg_AM3,50000,1433197.51,p1,254571.416
t64,Bg_AM4,30000,1095966.71,p1,166312.3001
t71,Bg_S1,100000,2092023.1,p2,560989.6261
t72,Bg_S2,70000,1718979.96,p2,407326.5743
t73,Bg_S3,35000,1187080.82,p2,222495.1516
t74,Bg_S4,15000,776045.37,p2,110720.8498
t81,Bg_FW1,30000,1095966.71,p3,257370.4694
t82,Bg_FW2,20000,892919.07,p3,180908.8192
t83,Bg_FW3,10000,642083.88,p3,101700.0574
t84,Bg_FW4,5000,476594.38,p3,59792.10526
t91,Bg_IntAM1,250000,3511079.46,p6,1062751.285
t92,Bg_IntAM2,150000,2625333.37,p6,667467.9013
t93,Bg_IntAM3,50000,1433197.51,p6,254571.416
t94,Bg_IntAM4,30000,1095966.71,p6,166312.3001
tA1,Bg_IntS1,100000,2092023.1,p7,560989.6261
tA2,Bg_IntS2,70000,1718979.96,p7,407326.5743
tA3,Bg_IntS3,35000,1187080.82,p7,222495.1516
tA4,Bg_IntS4,15000,776045.37,p7,110720.8498
tB1,Bg_IntFW1,30000,1095966.71,p8,257370.4694
tB2,Bg_IntFW2,20000,892919.07,p8,180908.8192
tB3,Bg_IntFW3,10000,642083.88,p8,101700.0574
tB4,Bg_IntFW4,5000,476594.38,p8,59792.10526
tC1,Bg_AM+FW2,250000,3511079.46,p1,1062751.285
tC2,Bg_AM+FW3,150000,2625333.37,p1,667467.9013
tC3,Bg_AM+FW4,50000,1433197.51,p1,254571.416
tC4,Bg_AM+FW5,30000,1095966.71,p1,166312.3001
tD1,Bg_S+FW1,100000,2092023.1,p2,560989.6261
tD2,Bg_S+FW2,70000,1718979.96,p2,407326.5743
tD3,Bg_S+FW3,35000,1187080.82,p2,222495.1516
tD4,Bg_S+FW4,15000,776045.37,p2,110720.8498
